BestFitness,AvgFitness,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
1732,5456.56,2404,2347,569,7039,5321,6286,983,367,3518,5957
1647,4802.62,2493,2743,4931,5135,6180,6253,3699,4219,2119,6748
1373,3871.74,1216,471,3227,3356,2411,4273,2833,2350,6255,6814
850,3125.84,1216,471,3227,6997,5354,6357,983,2339,6255,6814
738,2588.0,1216,471,3270,6997,5354,6357,983,2339,3872,6814
569,2155.2,1216,471,3171,7011,5354,6357,3731,2339,3872,6814
613,1833.7,1216,401,3166,7045,5347,6464,2621,6281,1659,6819
486,1380.12,1077,471,3227,7042,6137,6237,3945,4244,3888,6683
597,1140.2,1280,579,3135,7067,5371,6464,2621,6281,6194,6812
455,969.06,1086,515,2959,7042,6203,6325,3957,4249,3812,6851
365,829.36,1131,562,3233,7048,5401,6325,3957,4249,3812,6841
324,671.62,1131,562,3222,7048,5391,6502,3937,4249,3781,6841
291,591.46,1011,562,3233,7048,5315,6126,3957,4249,3812,6809
286,524.92,1011,581,3233,7048,5387,6126,3959,4261,3812,6809
292,481.48,1011,581,3256,7035,5387,6126,3959,4261,3696,6629
316,435.7,963,581,3205,7048,5387,6126,3929,4261,3813,6809
252,400.64,1119,366,3349,6963,5315,6126,3972,4324,3715,6643
208,374.5,1119,366,3349,6963,5359,6094,3919,4249,3715,6643
192,366.76,1085,417,3305,6812,5299,6173,4017,4365,3739,6918
125,338.06,1155,417,3316,6812,5280,6060,3929,4310,3760,6934
156,321.68,1155,376,3349,6765,5280,5959,3929,4310,3755,6901
202,310.94,1017,417,3264,6849,5309,5958,3948,4277,3774,7068
157,298.04,928,548,3276,6836,5280,5999,3897,4314,3549,7015
130,291.24,1017,417,3280,6838,5300,6070,3948,4277,3774,7117
129,269.46,1071,544,3323,6755,5236,5975,3925,4287,3758,6870
116,248.44,928,478,3250,6837,5184,6060,3820,4300,3558,6962
116,254.52,1016,543,3301,6618,5396,6093,3958,4315,3741,6725
83,215.68,938,543,3244,6660,5236,6093,3893,4283,3562,6908
99,212.5,1008,543,3301,6636,5309,6052,3893,4283,3562,6760
99,193.14,896,420,3301,6628,5226,6113,3958,4315,3758,6788
90,187.78,938,518,3244,6660,5290,6093,3900,4339,3616,6882
75,195.34,950,740,3333,6787,5235,6093,3855,4184,3548,6924
79,191.06,950,740,3333,6787,5235,6093,3824,4208,3548,6924
89,176.84,926,495,3284,6678,5347,6093,3864,4150,3629,6849
94,190.54,950,740,3244,6683,5401,6037,3844,4203,3548,6832
107,201.18,1025,213,3247,6658,5217,6038,3796,4320,3532,6834
97,191.7,938,594,3244,6634,5230,6054,3808,4144,3477,6834
90,187.76,887,556,3244,6634,5230,6054,3808,4144,3477,6843
99,160.46,1025,213,3247,6719,5225,6054,3810,4202,3577,6897
91,151.4,938,518,3247,6767,5244,6091,3839,4230,3473,6936
80,153.08,953,546,3223,6735,5325,6072,3788,4117,3533,6913
85,156.66,957,585,3239,6632,5225,6054,3798,4100,3599,6936
83,156.58,887,482,3258,6641,5225,6047,3819,4114,3449,6913
84,148.64,947,243,3270,6648,5246,6097,3849,4196,3570,6774
70,144.5,991,595,3272,6748,5316,6097,3769,4109,3570,6863
64,140.8,991,549,3248,6693,5410,6097,3772,4052,3546,6936
76,140.52,991,549,3248,6722,5410,6128,3772,4052,3546,6863
73,149.2,860,574,3251,6664,5361,6097,3780,4058,3546,6913
85,166.62,857,574,3251,6664,5361,6097,3780,4058,3488,6913
76,155.58,1017,292,3246,6753,5362,6097,3727,4123,3517,6913
78,171.66,939,495,3301,6664,5225,6105,3737,4145,3521,6922
81,179.78,1010,431,3272,6748,5304,6092,3740,4141,3517,6937
79,166.0,1056,463,3245,6748,5303,6112,3799,4100,3435,6936
57,166.14,939,543,3301,6748,5277,6106,3737,4100,3547,6920
70,160.78,943,106,3270,6779,5288,6112,3796,4082,3563,6897
70,155.24,939,377,3270,6779,5288,6112,3796,4082,3563,6897
59,154.34,1002,506,3259,6748,5304,6103,3759,4070,3435,6922
71,156.12,895,551,3261,6627,5217,6093,3774,4139,3549,6922
60,159.48,943,136,3303,6667,5217,6110,3774,4139,3549,6922
65,142.42,1054,456,3263,6672,5217,6106,3738,4087,3554,6837
67,147.16,943,499,3252,6663,5290,6131,3742,4087,3549,6907
80,149.32,874,455,3170,6642,5334,6106,3764,4087,3582,6922
81,150.44,943,467,3303,6690,5327,6084,3825,4146,3583,6940
75,157.56,943,506,3303,6690,5327,6084,3825,4146,3583,6922
65,158.38,1023,456,3325,6677,5361,6085,3752,4084,3501,6923
66,160.32,1017,535,3224,6716,5361,6085,3778,4084,3566,6939
70,142.52,941,204,3319,6675,5296,6086,3857,4169,3546,6907
80,155.54,993,62,3250,6669,5315,6095,3803,4167,3490,6816
76,159.3,846,199,3263,6668,5400,6092,3728,4060,3556,6929
76,159.74,846,199,3263,6668,5400,6033,3756,4060,3556,6879
82,169.1,956,61,3286,6694,5313,6056,3725,4092,3556,6914
78,164.54,917,119,3320,6717,5320,6084,3857,4150,3567,6842
77,152.94,945,61,3329,6750,5446,6084,3810,4152,3609,6910
73,166.74,1035,140,3279,6724,5354,6095,3795,4148,3567,6893
71,170.02,964,199,3229,6666,5461,6091,3843,4144,3556,6879
69,161.38,936,203,3245,6666,5443,6095,3844,4159,3556,6898
78,169.16,907,220,3245,6666,5366,6086,3844,4159,3505,6898
78,157.1,907,220,3245,6666,5366,6086,3788,4159,3510,6900
78,154.16,907,317,3245,6726,5366,6086,3788,4159,3510,6879
69,140.64,916,78,3247,6633,5304,6101,3761,4127,3563,6843
75,134.06,941,164,3303,6724,5246,6075,3853,4159,3563,6927
75,145.44,941,164,3303,6795,5432,6075,3808,4157,3563,6927
71,143.44,967,164,3303,6795,5432,6093,3808,4159,3563,6927
73,130.78,990,129,3316,6653,5381,6091,3756,4159,3563,6927
71,131.22,990,129,3316,6653,5381,6091,3795,4159,3563,6927
79,133.16,941,97,3303,6639,5180,6087,3808,4094,3569,6936
68,138.54,876,165,3245,6732,5407,6092,3788,4101,3543,6939
66,134.42,999,129,3257,6706,5378,6092,3815,4122,3633,6927
61,140.78,884,202,3316,6653,5351,6092,3795,4105,3615,6927
70,142.74,967,106,3279,6717,5378,6075,3788,4094,3615,6933
58,141.42,932,271,3319,6703,5444,6092,3745,4068,3516,6927
60,132.68,898,72,3258,6761,5412,6100,3754,4102,3520,6927
66,130.42,898,72,3269,6679,5444,6092,3749,4145,3547,6843
70,129.64,1035,149,3280,6654,5444,6092,3812,4118,3493,6931
48,128.94,992,62,3293,6665,5271,6092,3749,4080,3552,6918
60,129.8,911,184,3235,6677,5291,6111,3743,4064,3519,6817
55,132.86,911,184,3235,6677,5235,6111,3743,4064,3559,6817
51,131.94,964,159,3244,6720,5371,6092,3797,4093,3551,6903
67,141.48,987,201,3301,6720,5470,6086,3733,4076,3493,6849
71,156.2,942,96,3204,6677,5291,6100,3783,4076,3548,6841
82,153.74,957,143,3331,6702,5452,6086,3784,4192,3531,6903
78,148.66,986,57,3331,6702,5452,6114,3792,4096,3606,6950
72,143.84,909,57,3340,6702,5452,6114,3792,4111,3554,6943
71,150.6,988,98,3230,6717,5392,6087,3784,4114,3495,6911
78,149.22,991,148,3204,6677,5392,6087,3783,4122,3549,6822
74,149.86,926,99,3331,6739,5452,6114,3813,4122,3614,6915
74,145.24,926,99,3331,6739,5452,6114,3813,4122,3614,6915
72,147.2,893,164,3301,6692,5318,6095,3828,4122,3619,6853
75,142.82,926,99,3297,6668,5447,6114,3813,4126,3614,6915
